Hospital_ID,Hospital_Name,State,District,Latitude,Longitude,Hospital_Type,Ownership,Beds,Emergency,ICU,Surgery,Maternity
H001,Hospital 1,Perak,District 16,4.5975,101.0901,Specialist Hospital,Government,375,Yes,Yes,No,Yes
H002,Hospital 2,Perak,District 12,4.5975,101.0901,Specialist Hospital,Government,904,Yes,Yes,Yes,No
H003,Hospital 3,Selangor,District 16,3.0738,101.5183,Women & Children,Government,210,Yes,Yes,Yes,Yes
H004,Hospital 4,Kedah,District 8,6.1248,100.3678,Women & Children,Government,774,Yes,Yes,No,Yes
H005,Hospital 5,Perak,District 4,4.5975,101.0901,Others,Government,426,Yes,Yes,Yes,Yes
H006,Hospital 6,Perak,District 18,4.5975,101.0901,Specialist Hospital,Government,963,Yes,Yes,Yes,Yes
H007,Hospital 7,Pulau Pinang,District 18,5.4141,100.3288,Others,Government,653,Yes,Yes,Yes,Yes
H008,Hospital 8,Negeri Sembilan,District 5,2.7258,101.9424,Specialist Hospital,Government,981,Yes,Yes,No,Yes
H009,Hospital 9,Perak,District 18,4.5975,101.0901,Women & Children,Government,692,Yes,Yes,No,Yes
H010,Hospital 10,Kelantan,District 19,6.1254,102.2381,University Hospital,Government,630,Yes,Yes,No,No
H011,Hospital 11,Kedah,District 16,6.1248,100.3678,Specialist Hospital,Government,437,Yes,Yes,Yes,No
H012,Hospital 12,Kelantan,District 4,6.1254,102.2381,General Hospital,Government,592,Yes,Yes,No,No
H013,Hospital 13,Sabah,District 5,5.9804,116.0735,General Hospital,Government,409,Yes,Yes,Yes,No
H014,Hospital 14,Pahang,District 3,3.8077,103.326,General Hospital,Government,616,Yes,Yes,Yes,No
H015,Hospital 15,Sarawak,District 4,1.5533,110.3592,Others,Government,797,Yes,Yes,Yes,Yes
H016,Hospital 16,Perlis,District 11,6.4449,100.2048,Specialist Hospital,Government,844,Yes,Yes,No,No
H017,Hospital 17,Sarawak,District 8,1.5533,110.3592,Specialist Hospital,Government,677,Yes,Yes,Yes,No
H018,Hospital 18,Johor,District 1,1.4927,103.7414,Others,Government,661,Yes,Yes,Yes,No
H019,Hospital 19,Sabah,District 9,5.9804,116.0735,General Hospital,Government,139,Yes,Yes,Yes,Yes
H020,Hospital 20,Perlis,District 8,6.4449,100.2048,University Hospital,Government,184,Yes,Yes,Yes,No
H021,Hospital 21,Johor,District 1,1.4927,103.7414,General Hospital,Government,432,Yes,Yes,Yes,Yes
H022,Hospital 22,Pahang,District 4,3.8077,103.326,Others,Government,695,Yes,Yes,Yes,No
H023,Hospital 23,Negeri Sembilan,District 16,2.7258,101.9424,Others,Government,799,Yes,Yes,Yes,No
H024,Hospital 24,Perlis,District 4,6.4449,100.2048,Women & Children,Government,616,Yes,Yes,Yes,Yes
H025,Hospital 25,Melaka,District 12,2.1896,102.2501,Others,Government,615,Yes,Yes,Yes,No
H026,Hospital 26,Kedah,District 5,6.1248,100.3678,University Hospital,Government,645,Yes,Yes,Yes,No
H027,Hospital 27,Sabah,District 17,5.9804,116.0735,University Hospital,Government,546,Yes,Yes,No,Yes
H028,Hospital 28,Sarawak,District 12,1.5533,110.3592,Women & Children,Government,979,Yes,Yes,No,No
H029,Hospital 29,Kedah,District 12,6.1248,100.3678,General Hospital,Government,351,Yes,Yes,Yes,Yes
H030,Hospital 30,Melaka,District 6,2.1896,102.2501,General Hospital,Government,927,Yes,Yes,No,Yes
H031,Hospital 31,Johor,District 6,1.4927,103.7414,Specialist Hospital,Government,731,Yes,Yes,Yes,No
H032,Hospital 32,Kuala Lumpur,District 11,3.139,101.6869,General Hospital,Government,231,Yes,Yes,No,Yes
H033,Hospital 33,Johor,District 15,1.4927,103.7414,University Hospital,Government,454,Yes,Yes,No,Yes
H034,Hospital 34,Kelantan,District 10,6.1254,102.2381,Women & Children,Government,140,Yes,Yes,No,No
H035,Hospital 35,Melaka,District 6,2.1896,102.2501,General Hospital,Government,357,Yes,Yes,No,No
H036,Hospital 36,Negeri Sembilan,District 4,2.7258,101.9424,Others,Government,429,Yes,Yes,Yes,Yes
H037,Hospital 37,Perlis,District 6,6.4449,100.2048,Specialist Hospital,Government,571,Yes,Yes,Yes,Yes
H038,Hospital 38,Melaka,District 19,2.1896,102.2501,Women & Children,Government,978,Yes,Yes,Yes,Yes
H039,Hospital 39,Melaka,District 19,2.1896,102.2501,General Hospital,Government,966,Yes,Yes,Yes,No
H040,Hospital 40,Pulau Pinang,District 8,5.4141,100.3288,General Hospital,Government,220,Yes,Yes,No,Yes
H041,Hospital 41,Kelantan,District 4,6.1254,102.2381,Women & Children,Government,544,Yes,Yes,No,No
H042,Hospital 42,Johor,District 13,1.4927,103.7414,General Hospital,Government,213,Yes,Yes,No,No
H043,Hospital 43,Kelantan,District 9,6.1254,102.2381,Others,Government,370,Yes,Yes,No,No
H044,Hospital 44,Perlis,District 8,6.4449,100.2048,Others,Government,451,Yes,Yes,Yes,Yes
H045,Hospital 45,Sabah,District 12,5.9804,116.0735,Specialist Hospital,Government,461,Yes,Yes,No,No
H046,Hospital 46,Selangor,District 12,3.0738,101.5183,General Hospital,Government,998,Yes,Yes,No,No
H047,Hospital 47,Kedah,District 1,6.1248,100.3678,Specialist Hospital,Government,309,Yes,Yes,Yes,Yes
H048,Hospital 48,Kuala Lumpur,District 4,3.139,101.6869,General Hospital,Government,515,Yes,Yes,No,No
H049,Hospital 49,Johor,District 8,1.4927,103.7414,Others,Government,664,Yes,Yes,Yes,No
H050,Hospital 50,Sarawak,District 16,1.5533,110.3592,University Hospital,Government,719,Yes,Yes,Yes,No
H051,Hospital 51,Pulau Pinang,District 13,5.4141,100.3288,Others,Government,983,Yes,Yes,Yes,Yes
H052,Hospital 52,Kuala Lumpur,District 3,3.139,101.6869,Specialist Hospital,Government,538,Yes,Yes,Yes,No
H053,Hospital 53,Kedah,District 16,6.1248,100.3678,Women & Children,Government,910,Yes,Yes,No,Yes
H054,Hospital 54,Kedah,District 16,6.1248,100.3678,Women & Children,Government,668,Yes,Yes,No,Yes
H055,Hospital 55,Johor,District 8,1.4927,103.7414,Specialist Hospital,Government,628,Yes,Yes,No,Yes
H056,Hospital 56,Selangor,District 15,3.0738,101.5183,Others,Government,892,Yes,Yes,No,No
